Date,Open,High,Low,Close,Adj Close,Volume,Label
2000-02-07,5.9375,6.0625,5.75,6.0625,6.0625,27400,1
2000-02-08,6.0,6.0625,5.75,6.0,6.0,69700,2
2000-02-09,5.875,6.125,5.875,6.0,6.0,108700,0
2000-02-10,6.0,6.0625,5.875,6.0625,6.0625,91100,1
2000-02-11,5.875,6.0,5.75,6.0,6.0,72300,0
2000-02-14,6.125,6.75,5.875,6.4375,6.4375,100300,1
2000-02-15,6.5625,6.5625,6.125,6.125,6.125,82100,2
2000-02-16,6.3125,6.375,5.625,6.125,6.125,59100,1
2000-02-17,6.125,6.1875,5.9375,6.0,6.0,26800,1
2000-02-18,5.9375,5.9375,5.9375,5.9375,5.9375,6800,1
2000-02-22,6.0,6.0,5.5,5.875,5.875,11300,1
2000-02-23,6.0,6.1875,5.5625,5.75,5.75,18200,0
2000-02-24,5.625,5.875,5.625,5.875,5.875,9500,1
2000-02-25,5.875,5.9375,5.75,5.8125,5.8125,15700,0
2000-02-28,5.75,6.0,5.6875,6.0,6.0,41600,1
2000-02-29,5.75,6.0,5.625,5.75,5.75,64100,0
2000-03-01,6.0,6.125,5.9375,6.0625,6.0625,37200,1
2000-03-02,5.75,6.0,5.625,5.625,5.625,30900,0
2000-03-03,5.625,5.9375,5.5625,5.75,5.75,17200,0
2000-03-06,5.875,6.1875,5.875,6.0,6.0,44200,1
