Date,Open,High,Low,Close,Adj Close,Volume,Label
2000-02-04/2000-02-07,5.875,6.0625,5.75,6.0625,6.0625,47300,1
2000-02-07/2000-02-08,5.9375,6.0625,5.75,6.0,6.0,97100,2
2000-02-08/2000-02-09,6.0,6.125,5.75,6.0,6.0,178400,0
2000-02-09/2000-02-10,5.875,6.125,5.875,6.0625,6.0625,199800,1
2000-02-10/2000-02-11,6.0,6.0625,5.75,6.0,6.0,163400,0
2000-02-11/2000-02-14,5.875,6.75,5.75,6.4375,6.4375,172600,1
2000-02-14/2000-02-15,6.125,6.75,5.875,6.125,6.125,182400,2
2000-02-15/2000-02-16,6.5625,6.5625,5.625,6.125,6.125,141200,1
2000-02-16/2000-02-17,6.3125,6.375,5.625,6.0,6.0,85900,1
2000-02-17/2000-02-18,6.125,6.1875,5.9375,5.9375,5.9375,33600,1
2000-02-18/2000-02-22,5.9375,6.0,5.5,5.875,5.875,18100,1
2000-02-22/2000-02-23,6.0,6.1875,5.5,5.75,5.75,29500,0
2000-02-23/2000-02-24,6.0,6.1875,5.5625,5.875,5.875,27700,1
2000-02-24/2000-02-25,5.625,5.9375,5.625,5.8125,5.8125,25200,0
2000-02-25/2000-02-28,5.875,6.0,5.6875,6.0,6.0,57300,1
2000-02-28/2000-02-29,5.75,6.0,5.625,5.75,5.75,105700,0
2000-02-29/2000-03-01,5.75,6.125,5.625,6.0625,6.0625,101300,1
2000-03-01/2000-03-02,6.0,6.125,5.625,5.625,5.625,68100,0
2000-03-02/2000-03-03,5.75,6.0,5.5625,5.75,5.75,48100,0
2000-03-03/2000-03-06,5.625,6.1875,5.5625,6.0,6.0,61400,1
