Date,Open,High,Low,Close,Adj Close,Volume,Label
2000-02-01/2000-02-07,6.375,6.40625,5.625,6.0625,6.0625,111500,1
2000-02-02/2000-02-08,6.375,6.375,5.625,6.0,6.0,176300,2
2000-02-03/2000-02-09,6.25,6.25,5.625,6.0,6.0,252000,0
2000-02-04/2000-02-10,5.875,6.125,5.75,6.0625,6.0625,316800,1
2000-02-07/2000-02-11,5.9375,6.125,5.75,6.0,6.0,369200,0
2000-02-08/2000-02-14,6.0,6.75,5.75,6.4375,6.4375,442100,1
2000-02-09/2000-02-15,5.875,6.75,5.75,6.125,6.125,454500,2
2000-02-10/2000-02-16,6.0,6.75,5.625,6.125,6.125,404900,1
2000-02-11/2000-02-17,5.875,6.75,5.625,6.0,6.0,340600,1
2000-02-14/2000-02-18,6.125,6.75,5.625,5.9375,5.9375,275100,1
2000-02-15/2000-02-22,6.5625,6.5625,5.5,5.875,5.875,186100,1
2000-02-16/2000-02-23,6.3125,6.375,5.5,5.75,5.75,122200,0
2000-02-17/2000-02-24,6.125,6.1875,5.5,5.875,5.875,72600,1
2000-02-18/2000-02-25,5.9375,6.1875,5.5,5.8125,5.8125,61500,0
2000-02-22/2000-02-28,6.0,6.1875,5.5,6.0,6.0,96300,1
2000-02-23/2000-02-29,6.0,6.1875,5.5625,5.75,5.75,149100,0
2000-02-24/2000-03-01,5.625,6.125,5.625,6.0625,6.0625,168100,1
2000-02-25/2000-03-02,5.875,6.125,5.625,5.625,5.625,189500,0
2000-02-28/2000-03-03,5.75,6.125,5.5625,5.75,5.75,191000,0
2000-02-29/2000-03-06,5.75,6.1875,5.5625,6.0,6.0,193600,1
